servertime,sensortype,deviceid,clienttime,x,y,z
1507663383064,accelerometer,7f43a7eaf750aac,1507663303326,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663304127,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663304924,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663305723,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663306522,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663307321,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663308121,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663308920,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663309719,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663310517,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663311317,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663312115,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663312915,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663313714,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663314512,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663315311,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663316111,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663316910,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663317709,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663318508,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663319306,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663320106,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663320904,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663321703,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663322503,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663323302,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663324101,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663324900,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663325699,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663326498,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663327297,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663328096,9.77631,2.23517e-7,0.812348
1507663383064,accelerometer,7f43a7eaf750aac,1507663328895,9.77631,2.23517e-7,0.812348
